Date,Daily_Price,7_Day_SMA,21_Day_SMA,Daily_Dollar_Change,Target_Next_Day_Price
2026-06-17,65598.94,64367.66,66418.89,-702.02,64422.57
2026-06-18,64422.57,64786.24,65946.03,-1176.37,62900.23
2026-06-19,62900.23,64693.09,65439.38,-1522.34,63513.66
2026-06-20,63513.66,64689.65,64969.42,613.43,64240.23
2026-06-21,64240.23,64670.03,64516.53,726.57,63231.87
2026-06-22,63231.87,64315.49,64023.12,-1008.36,63957.2
2026-06-23,63957.2,63980.67,63670.59,725.33,62651.93
2026-06-24,62651.93,63559.67,63480.21,-1305.27,60909.0
2026-06-25,60909.0,63057.73,63331.98,-1742.93,60006.38
