Date,BITCOIN,ETHEREUM,SOLANA
2026-05-28,-0.019404922395345192,-0.023333639168835685,-0.01566798229876809
2026-05-29,-0.010932487993038587,-0.0073918052321125804,-0.00449574726609947
2026-05-30,-0.0021365289889125894,0.002326206937775188,0.00012205541315757351
2026-05-31,0.005019574090467049,0.0034538795266942923,0.007322431047107836
2026-06-01,-0.002138274061651013,-0.0075327608237006904,-0.0037557547855585627
2026-06-02,-0.0303429507304801,-0.0002994056797258615,-0.013377112975799688
2026-06-03,-0.06600964429396561,-0.0735360916855099,-0.08825342043633666
2026-06-04,-0.03942949017447295,-0.024083402925567765,-0.030958496687846337
2026-06-05,-0.003524419538379786,-0.0232809782758715,-0.04059709821428581
2026-06-06,-0.04505688030252564,-0.10658044969986102,-0.07750472589792057
2026-06-07,-0.0009833919850352757,-0.007497058116435307,-0.020176544766708715
2026-06-08,0.03931344217431332,0.07539027390885855,0.0656370656370655
2026-06-09,-0.002784462845925595,0.0018138277693473537,0.007246376811594235
2026-06-10,-0.02251371467017893,-0.03092124726347556,-0.026378896882494063
2026-06-11,-0.0026890130462543516,-0.01009866653641378,-0.027555418719211744
2026-06-12,0.033496599829800466,0.031203355332140914,0.05651416811777721
2026-06-13,-0.00022910264459363727,-0.0040911782473728175,-0.0005993407252021798
2026-06-14,0.013217970925626377,0.008215969490405817,0.031634182908545805
2026-06-15,0.02075318767807044,0.02734209789543285,0.033134718790873485
2026-06-16,0.008937873153236797,0.04025211204722168,0.04037136024757326
2026-06-17,-0.010588383637280763,-0.0018171176946015777,-0.0066252028123309215
2026-06-18,-0.017932759279342014,-0.023927987089496727,-0.020280386552334217
2026-06-19,-0.023630538179398863,-0.021934391340663995,-0.03250903028619068
2026-06-20,0.009752428568226224,-0.0019770706598033483,-0.0033026995979322793
2026-06-21,0.011439586381890132,0.019305833948728868,0.05460308312923212
2026-06-22,-0.015696705942678024,-0.019871662181742966,-0.010245901639344246
2026-06-23,0.011470956022651135,0.012976651413821427,-0.008419599723947568
2026-06-24,-0.020408491928977424,-0.03574406968124533,-0.031041202672605794
2026-06-25,-0.02781925473006175,-0.028366366366366358,-0.024709093521045777
2026-06-26,-0.014819156446502224,-0.02705576194391046,0.0036824274561790826
